chr	pos	ref_base	strand	mod	WT2_depth	WT2_basecall_accuracy	WT2_mod_freq	WT2_mod_prob	KOM3_depth	KOM3_basecall_accuracy	KOM3_mod_freq	KOM3_mod_prob	WT1_depth	WT1_basecall_accuracy	WT1_mod_freq	WT1_mod_prob	KOM14_depth	KOM14_basecall_accuracy	KOM14_mod_freq	KOM14_mod_prob
chr9	57749999	A	+	m6A	89	0.944	0.146	0.9	83	0.976	0.012	0.6	47	1	0.319	0.9	73	0.986	0.096	0.833
chr9	57750764	A	-	m6A	122	0.992	0.098	0.85	44	0.932	0.023	0.867	47	0.936	0.149	0.9	68	0.941	0.015	0.533
chr9	57751105	A	-	m6A	94	1	0.085	0.75	30	1	0.033	0.667	38	0.974	0.079	0.733	53	1	0.019	0.533
chr9	59315890	A	+	m6A	112	0.964	0.241	0.8	54	0.981	0.056	0.6	51	0.863	0.275	0.7	98	0.959	0.092	0.733
chr9	59315971	A	+	m6A	124	0.952	0.427	0.767	56	1	0.071	0.8	60	0.917	0.45	0.767	100	0.97	0.24	0.75
chr9	59679045	A	+	m6A	5810	0.992	0.067	0.8	2211	0.997	0.009	0.9	2466	0.992	0.062	0.833	3761	0.991	0.017	0.783
chr9	64186331	A	-	m6A	110	0.9	0.091	0.783	26	1	0.077	0.867	31	0.871	0.097	0.933	72	0.917	0.083	0.75
chr9	64304451	A	+	m6A	467	0.996	0.081	0.883	120	0.992	0.025	0.667	108	0.991	0.13	0.817	212	1	0.061	0.833
chr9	64987132	A	-	m6A	108	0.944	0.093	0.717	52	0.981	0.019	0.533	52	0.962	0.058	0.6	53	0.981	0.019	0.867
chr9	65487150	A	+	m6A	93	0.989	0.183	0.767	42	0.976	0.071	0.633	35	1	0.4	0.833	62	0.984	0.097	0.65
chr9	65659960	A	+	m6A	297	1	0.108	0.733	60	0.983	0	NA	85	1	0.094	0.65	217	1	0.018	0.867
chr9	65690157	A	+	m6A	171	1	0.14	0.783	103	1	0	NA	65	0.985	0.231	0.867	90	1	0.044	0.933
chr9	66088420	A	-	m6A	55	0.982	0.127	0.867	26	1	0.038	0.567	25	0.96	0.08	0.75	68	1	0.059	0.817
chr9	67220944	A	-	m6A	41	1	0.195	0.783	31	0.968	0.129	0.767	37	0.946	0.243	0.667	31	0.903	0.065	0.6
chr9	67220986	A	-	m6A	35	0.886	0.171	0.717	29	0.966	0.172	0.733	29	0.759	0.103	0.9	26	0.808	0.038	0.933
chr9	67221068	A	-	m6A	34	0.941	0.265	0.7	29	0.966	0.103	0.7	25	0.96	0.12	0.667	26	0.885	0.269	0.733
chr9	70007858	A	+	m6A	61	0.984	0.148	0.833	26	1	0	NA	25	0.92	0.12	0.933	28	1	0.036	0.6
chr9	70008041	A	+	m6A	81	0.963	0.235	0.867	48	1	0.021	0.633	29	0.897	0.241	0.8	44	0.977	0.205	0.933
chr9	70022535	A	+	m6A	179	0.994	0.168	0.65	55	1	0	NA	40	1	0.075	0.667	84	1	0.048	0.767
chr9	70399596	A	+	m6A	71	0.972	0.113	0.933	33	1	0.03	0.667	35	0.971	0.086	0.833	61	0.984	0	NA
chr9	70407911	A	-	m6A	338	0.962	0.098	0.833	141	0.986	0.05	0.667	96	0.969	0.125	0.767	144	0.944	0.076	0.867
chr9	71478952	A	-	m6A	481	0.857	0.141	0.7	127	0.913	0.063	0.85	142	0.908	0.141	0.75	277	0.91	0.079	0.767
chr9	73104308	A	+	m6A	66	1	0.076	0.7	129	1	0.008	0.7	26	1	0.154	0.817	25	1	0	NA
chr9	78209162	A	+	m6A	1595	0.977	0.357	0.833	820	0.994	0.082	0.833	637	0.983	0.394	0.867	929	0.992	0.168	0.867
chr9	78478578	A	-	m6A	24472	0.958	0.089	0.767	11003	0.967	0.029	0.733	9136	0.955	0.11	0.767	12481	0.965	0.044	0.767
chr9	78478633	A	-	m6A	24584	0.977	0.2	0.7	11268	0.979	0.056	0.7	9062	0.976	0.223	0.7	12712	0.979	0.109	0.667
chr9	85687619	A	-	m6A	122	0.959	0.057	0.733	32	0.969	0	NA	52	1	0.096	0.567	77	0.974	0.013	0.6
chr9	88454087	A	-	m6A	228	0.956	0.276	0.8	47	0.957	0.298	0.717	47	0.979	0.298	0.767	86	0.953	0.279	0.75
chr9	88454106	A	-	m6A	217	0.894	0.295	0.733	46	0.978	0.152	0.567	43	0.953	0.442	0.8	78	0.897	0.205	0.767
chr9	88521166	A	-	m6A	350	0.997	0.071	0.733	108	0.991	0.028	0.867	99	0.99	0.071	0.667	171	0.982	0.018	0.533
chr9	96332995	A	-	m6A	212	0.991	0.057	0.7	80	0.988	0	NA	62	0.968	0.097	0.667	103	1	0.029	0.7
chr9	96333042	A	-	m6A	212	0.991	0.057	0.717	77	0.987	0.026	0.633	63	1	0.079	0.7	104	0.99	0	NA
chr9	96333467	A	-	m6A	107	0.963	0.327	0.867	32	0.969	0.031	0.6	27	0.963	0.481	0.933	44	0.977	0.295	0.833
chr9	96471687	A	-	m6A	175	1	0.149	0.733	60	0.933	0.017	0.967	32	1	0.219	0.833	77	1	0.039	0.733
chr9	96471693	A	-	m6A	180	0.989	0.061	0.767	58	0.983	0.034	0.75	34	0.971	0.059	0.767	76	0.974	0.039	0.8
chr9	96471762	A	-	m6A	171	0.994	0.099	0.8	49	1	0	NA	30	1	0.1	0.9	71	0.986	0	NA
chr9	97075817	A	-	m6A	107	1	0.187	0.767	27	0.963	0.074	0.883	58	0.931	0.259	0.833	96	0.979	0.052	0.667
chr9	99001875	A	+	m6A	72	1	0.306	0.8	26	1	0.038	0.8	31	0.968	0.323	0.833	46	0.978	0.196	0.767
chr9	99584036	A	+	m6A	108	0.972	0.528	0.833	40	1	0.4	0.883	25	0.96	0.6	0.833	42	1	0.571	0.783
chr9	99584105	A	+	m6A	128	1	0.477	0.8	51	0.961	0.412	0.867	26	1	0.577	0.8	55	1	0.4	0.8
chr9	102907209	A	+	m6A	80	0.975	0.125	0.717	41	1	0.049	0.7	29	1	0.103	0.567	61	1	0.049	0.767
chr9	102907925	A	+	m6A	90	1	0.411	0.833	57	1	0.105	0.867	55	1	0.418	0.833	59	1	0.153	0.8
chr9	103353572	A	-	m6A	416	0.995	0.062	0.633	149	1	0.007	0.7	137	0.993	0.088	0.733	252	0.988	0.016	0.633
chr9	106215004	A	+	m6A	145	0.924	0.248	0.783	98	0.939	0.071	0.9	41	0.976	0.415	0.867	75	0.947	0.147	0.9
chr9	106215029	A	+	m6A	175	0.994	0.183	0.767	105	0.99	0.095	0.767	49	1	0.143	0.8	89	1	0.079	0.733
chr9	106215059	A	+	m6A	202	0.995	0.376	0.817	127	0.992	0.055	0.833	60	1	0.467	0.85	96	1	0.208	0.883
chr9	106215152	A	+	m6A	240	0.967	0.075	0.783	156	0.91	0.019	0.867	74	0.932	0.095	0.933	111	0.946	0.027	0.9
chr9	106440140	A	-	m6A	221	0.991	0.104	0.9	96	1	0.01	0.733	87	0.989	0.161	0.883	101	1	0.099	0.9
chr9	106440217	A	-	m6A	214	0.981	0.28	0.8	95	1	0.053	0.867	85	0.965	0.353	0.867	100	0.97	0.21	0.833
chr9	106463858	A	+	m6A	338	0.991	0.107	0.65	185	0.984	0.022	0.667	101	0.97	0.099	0.633	129	1	0.047	0.75
chr9	106658846	A	-	m6A	95	0.989	0.358	0.75	59	1	0.136	0.633	45	0.978	0.289	0.833	94	0.989	0.255	0.717
chr9	106659130	A	-	m6A	70	0.986	0.157	0.7	41	0.927	0	NA	26	0.962	0.115	0.933	72	0.917	0.069	0.867
chr9	106688234	A	-	m6A	88	0.966	0.068	0.833	33	1	0.03	0.8	52	0.962	0.077	0.85	68	0.971	0.015	0.833
chr9	106888808	A	-	m6A	363	1	0.107	0.8	137	1	0.029	0.85	98	1	0.143	0.8	186	0.995	0.032	0.867
chr9	106889052	A	-	m6A	327	0.985	0.398	0.767	115	1	0.13	0.867	81	0.951	0.432	0.767	177	0.989	0.181	0.85
chr9	107538497	A	+	m6A	73	1	0.11	0.65	42	1	0.095	0.783	27	1	0.222	0.683	48	1	0.104	0.667
chr9	107615651	A	-	m6A	109	1	0.083	0.7	27	1	0	NA	38	0.974	0.158	0.783	65	1	0.077	0.9
chr9	107740783	A	-	m6A	79	1	0.152	0.733	34	0.971	0.029	0.633	34	1	0.206	0.867	60	1	0.017	0.933
chr9	108048546	A	+	m6A	89	0.978	0.124	0.7	36	0.972	0.028	0.767	41	1	0.171	0.667	46	1	0.087	0.85
chr9	108085442	A	-	m6A	122	0.984	0.541	0.833	63	1	0.286	0.783	55	1	0.436	0.833	81	1	0.235	0.867
chr9	108085449	A	-	m6A	119	0.992	0.134	0.783	64	1	0.062	0.767	56	0.982	0.25	0.767	81	0.975	0.099	0.7
chr9	108085471	A	-	m6A	123	0.992	0.26	0.867	64	1	0.125	0.867	56	1	0.339	0.833	85	1	0.176	0.833
chr9	108205011	A	-	m6A	126	0.992	0.079	0.683	72	0.986	0	NA	62	1	0.081	0.667	115	1	0.035	0.733
chr9	108302155	A	+	m6A	153	0.987	0.275	0.833	69	1	0.029	0.85	93	1	0.323	0.867	131	1	0.107	0.817
chr9	108337675	A	+	m6A	379	0.989	0.055	0.9	191	1	0.026	0.6	176	0.989	0.097	0.867	224	1	0.036	0.65
chr9	108337745	A	+	m6A	418	0.993	0.127	0.833	232	0.996	0.022	0.667	197	0.995	0.152	0.8	257	1	0.031	0.817
chr9	108391827	A	+	m6A	97	0.938	0.206	0.817	58	0.948	0.052	0.667	31	0.871	0.129	0.933	70	0.9	0.129	0.633
chr9	108391913	A	+	m6A	155	1	0.194	0.733	77	1	0.039	0.6	53	1	0.151	0.767	94	1	0.074	0.767
chr9	108391944	A	+	m6A	158	0.886	0.215	0.667	89	0.933	0.112	0.717	62	0.935	0.161	0.717	95	0.863	0.189	0.717
chr9	108464381	A	+	m6A	71	0.986	0.211	0.8	55	0.982	0.309	0.733	31	0.935	0.129	0.717	28	1	0.071	0.817
chr9	108464407	A	+	m6A	73	0.973	0.123	0.867	55	0.945	0.018	0.767	30	0.933	0.067	0.733	27	0.926	0.074	0.65
chr9	108464415	A	+	m6A	75	1	0.36	0.867	55	0.982	0.218	0.817	31	1	0.484	0.767	25	1	0.28	0.7
chr9	108604858	A	-	m6A	113	0.973	0.336	0.8	26	0.962	0.038	0.933	31	0.903	0.419	0.833	69	0.957	0.217	0.767
chr9	108684380	A	+	m6A	116	0.948	0.069	0.75	57	0.965	0.053	0.6	41	0.927	0.22	0.9	58	0.931	0.017	0.967
chr9	109057556	A	+	m6A	66	0.97	0.106	0.7	34	1	0.029	0.9	30	0.967	0.133	0.8	39	0.974	0.077	0.8
chr9	109842655	A	+	m6A	114	0.956	0.395	0.833	58	1	0.103	0.867	33	0.97	0.364	0.85	49	0.939	0.224	0.867
chr9	109842849	A	+	m6A	131	0.977	0.466	0.833	74	1	0.257	0.8	34	1	0.529	0.767	62	0.984	0.129	0.8
chr9	110082976	A	+	m6A	325	0.982	0.074	0.733	134	0.97	0.03	0.65	126	1	0.056	0.733	178	0.989	0.017	0.7
chr9	110083468	A	+	m6A	118	0.992	0.068	0.633	57	0.982	0	NA	71	0.986	0.07	0.833	79	0.975	0.013	1
chr9	110083483	A	+	m6A	117	0.991	0.179	0.733	58	0.983	0.052	0.9	70	0.986	0.271	0.767	81	0.988	0.049	0.717
chr9	110084435	A	-	m6A	238	0.941	0.05	0.6	144	0.917	0.035	0.767	80	0.925	0.05	0.633	138	0.957	0	NA
chr9	110239759	A	+	m6A	144	1	0.062	0.7	57	0.982	0	NA	64	1	0.125	0.85	116	1	0.026	0.633
chr9	110384722	A	+	m6A	104	0.952	0.077	0.683	82	0.963	0	NA	41	0.927	0.122	0.6	58	0.966	0.069	0.75
chr9	110384797	A	+	m6A	102	1	0.382	0.8	75	1	0.133	0.833	41	0.976	0.512	0.767	61	1	0.311	0.7
chr9	110385270	A	-	m6A	119	0.975	0.193	0.767	84	0.976	0.179	0.767	66	0.985	0.409	0.733	83	1	0.241	0.733
chr9	110385392	A	-	m6A	103	0.951	0.058	0.7	48	1	0.042	0.95	47	0.936	0.085	0.55	64	0.953	0.047	0.7
chr9	110618419	A	+	m6A	126	0.984	0.087	0.767	63	1	0.016	0.7	39	1	0.051	0.683	80	0.988	0.025	0.7
chr9	110939828	A	-	m6A	1247	0.99	0.148	0.667	416	0.995	0.038	0.8	383	0.987	0.162	0.667	702	0.993	0.061	0.7
chr9	110939884	A	-	m6A	1056	0.995	0.092	0.733	330	0.994	0.021	0.867	294	0.993	0.102	0.8	601	0.997	0.023	0.817
chr9	113976905	A	+	m6A	117	0.974	0.154	0.967	55	0.945	0.091	0.8	31	0.968	0.226	0.8	54	1	0.019	0.767
chr9	114474088	A	+	m6A	227	1	0.123	0.683	163	1	0.031	0.7	217	0.995	0.101	0.767	251	1	0.056	0.733
chr9	114474109	A	+	m6A	226	0.987	0.354	0.7	160	0.988	0.263	0.733	207	0.995	0.382	0.8	249	0.988	0.225	0.767
chr9	114507205	A	-	m6A	215	1	0.298	0.833	131	1	0.122	0.733	109	1	0.376	0.8	160	0.994	0.175	0.817
chr9	114508404	A	-	m6A	44	0.909	0.409	0.8	26	0.962	0.231	0.867	28	0.964	0.714	0.783	35	1	0.4	0.733
chr9	114749046	A	+	m6A	86	0.977	0.07	0.867	26	1	0	NA	37	1	0.135	0.767	58	1	0.052	0.8
chr9	114757076	A	-	m6A	250	0.96	0.3	0.733	168	0.976	0.095	0.65	149	0.98	0.282	0.767	182	0.978	0.099	0.717
chr9	114757099	A	-	m6A	278	0.975	0.529	0.833	182	0.989	0.231	0.867	164	1	0.573	0.867	209	0.962	0.359	0.833
chr9	114757237	A	-	m6A	233	0.991	0.086	0.833	124	1	0.048	0.617	119	1	0.151	0.85	151	1	0.04	0.583
chr9	115242849	A	-	m6A	126	0.984	0.143	0.65	70	0.971	0.086	0.633	71	1	0.268	0.7	91	0.989	0.077	0.8
chr9	118582389	A	+	m6A	73	1	0.096	0.767	28	0.964	0	NA	41	0.951	0.098	0.7	55	0.982	0	NA
chr9	119350188	A	+	m6A	243	0.988	0.053	0.867	124	0.992	0.016	0.8	88	0.943	0.08	0.8	135	0.963	0.037	0.967
chr9	120574448	A	+	m6A	108	0.991	0.491	0.8	47	0.979	0.255	0.75	34	1	0.5	0.8	45	0.978	0.267	0.817
chr9	121474707	A	+	m6A	69	0.957	0.072	0.867	30	1	0.067	0.733	25	0.88	0.08	0.6	37	0.946	0.054	0.6
chr10	4155912	A	+	m6A	115	0.957	0.157	0.783	42	0.976	0	NA	42	0.952	0.071	0.7	57	0.982	0.053	0.9
chr10	4454961	A	+	m6A	110	0.873	0.064	0.767	48	0.958	0	NA	30	0.933	0.067	0.867	65	0.969	0.031	0.767
chr10	5799385	A	-	m6A	161	0.994	0.391	0.8	54	1	0.352	0.8	55	1	0.473	0.867	102	0.99	0.314	0.767
chr10	13008864	A	+	m6A	673	0.982	0.074	0.817	279	0.993	0.007	0.617	219	0.991	0.064	0.683	354	0.994	0.034	0.817
chr10	13009013	A	+	m6A	677	0.988	0.408	0.8	275	0.978	0.153	0.75	210	0.981	0.4	0.767	355	0.983	0.287	0.833
chr10	13131467	A	+	m6A	108	0.991	0.157	0.7	45	1	0.089	0.683	28	1	0.214	0.683	45	1	0.089	0.85
chr10	13131525	A	+	m6A	108	1	0.157	0.7	48	1	0.062	0.633	28	1	0.071	0.683	50	1	0.08	0.633
chr10	13131583	A	+	m6A	110	0.982	0.136	0.7	49	0.98	0.082	0.667	27	1	0.222	0.75	52	0.981	0.096	0.633
chr10	13178878	A	-	m6A	149	0.973	0.141	0.7	52	1	0	NA	42	0.976	0.214	0.833	55	0.982	0.145	0.75
chr10	18011578	A	-	m6A	133	0.947	0.083	0.667	45	0.978	0.022	0.6	29	1	0.138	0.717	53	0.981	0	NA
chr10	20339826	A	+	m6A	287	0.997	0.167	0.9	98	1	0.051	0.8	96	1	0.156	0.767	153	0.993	0.072	0.7
chr10	20342423	A	+	m6A	97	1	0.278	0.767	63	1	0.032	0.883	44	1	0.295	0.8	65	1	0.077	0.833
chr10	21368546	A	+	m6A	175	0.989	0.24	0.733	84	0.952	0.036	0.6	81	0.975	0.123	0.8	108	0.991	0.12	0.767
chr10	21368583	A	+	m6A	190	0.989	0.358	0.733	103	0.981	0.097	0.867	93	0.989	0.452	0.767	120	0.983	0.217	0.867
chr10	21999574	A	+	m6A	358	0.992	0.159	0.8	43	1	0.023	0.6	62	0.984	0.21	0.733	123	1	0.081	0.683
chr10	34233423	A	-	m6A	174	1	0.098	0.8	47	0.957	0	NA	34	0.971	0.088	0.7	55	1	0.036	0.8
chr10	34284674	A	+	m6A	90	0.978	0.311	0.7	40	1	0.15	0.7	48	1	0.396	0.867	60	0.983	0.167	0.783
chr10	37001632	A	+	m6A	257	0.922	0.062	0.767	81	0.975	0.012	0.867	102	0.941	0.127	0.767	160	0.969	0.037	0.817
chr10	37001665	A	+	m6A	253	0.996	0.324	0.767	87	0.989	0.092	0.767	105	0.981	0.333	0.8	160	1	0.194	0.8
chr10	37135148	A	-	m6A	116	0.957	0.164	0.767	29	0.966	0.103	0.7	28	0.964	0.25	0.9	42	0.952	0.167	0.867
chr10	41188448	A	-	m6A	138	0.986	0.312	0.867	41	1	0	NA	58	0.948	0.397	0.8	78	0.987	0.231	0.767
chr10	41188565	A	-	m6A	91	0.934	0.066	0.8	27	1	0.037	0.8	28	0.929	0.143	0.617	42	0.905	0.024	0.933
chr10	41530951	A	+	m6A	232	0.983	0.19	0.817	107	1	0.047	0.833	87	0.989	0.299	0.767	142	0.965	0.092	0.767
chr10	43525243	A	-	m6A	132	0.992	0.189	0.633	115	1	0.078	0.767	61	0.984	0.246	0.633	101	1	0.05	0.733
chr10	43532754	A	-	m6A	105	1	0.057	0.85	93	1	0.011	0.633	53	1	0.094	0.633	89	0.989	0.045	0.767
chr10	45158836	A	+	m6A	127	1	0.055	0.833	74	1	0	NA	48	0.979	0.062	0.767	74	1	0	NA
chr10	59371736	A	+	m6A	77	0.987	0.299	0.8	58	1	0.086	0.867	35	0.971	0.371	0.767	65	1	0.2	0.767
chr10	59371839	A	+	m6A	63	1	0.143	0.9	59	0.983	0.017	0.833	34	1	0.235	0.833	63	1	0.079	0.9
chr10	61425250	A	+	m6A	354	0.986	0.068	0.7	188	0.989	0.021	0.867	163	0.975	0.153	0.867	287	0.979	0.017	0.667
chr10	61425264	A	+	m6A	369	0.995	0.141	0.733	196	0.985	0.026	0.7	174	1	0.167	0.733	298	1	0.034	0.817
chr10	61428819	A	-	m6A	261	0.989	0.215	0.9	112	0.991	0.08	0.967	161	0.994	0.267	0.867	163	0.988	0.086	0.783
chr10	61432000	A	-	m6A	274	0.964	0.066	0.633	110	0.964	0.027	0.8	120	0.975	0.075	0.667	197	0.964	0.041	0.617
chr10	61691409	A	+	m6A	100	0.98	0.05	0.6	81	0.988	0.012	0.6	34	0.971	0.059	0.8	112	0.973	0	NA
chr10	61693000	A	+	m6A	196	0.99	0.23	0.767	90	0.989	0.044	0.767	66	0.97	0.258	0.767	96	0.99	0.125	0.767
chr10	61693184	A	+	m6A	226	1	0.115	0.8	117	1	0.017	0.867	91	1	0.154	0.667	114	0.991	0.061	0.767
chr10	62269460	A	-	m6A	89	0.978	0.112	0.667	54	1	0.111	0.683	57	1	0.193	0.767	67	0.97	0.134	0.867
chr10	62269557	A	-	m6A	62	0.984	0.355	0.733	34	1	0.147	0.733	38	0.921	0.184	0.767	54	0.87	0.148	0.867
chr10	62429537	A	-	m6A	181	0.994	0.365	0.767	95	1	0.263	0.9	52	1	0.346	0.75	110	1	0.355	0.767
chr10	62429632	A	-	m6A	163	0.963	0.08	0.8	82	0.963	0.049	0.6	47	1	0.106	0.867	105	0.981	0.038	0.933
chr10	62580391	A	-	m6A	341	0.974	0.144	0.733	122	0.959	0.016	0.783	141	0.986	0.191	0.8	236	0.975	0.064	0.733
chr10	62582333	A	-	m6A	241	0.988	0.062	0.733	60	0.983	0.117	0.8	58	1	0.172	0.7	113	0.991	0.124	0.65
chr10	63317495	A	+	m6A	73	1	0.493	0.9	26	1	0.5	0.867	29	0.966	0.552	0.817	45	0.956	0.444	0.817
chr10	69338387	A	-	m6A	539	0.983	0.239	0.833	188	0.989	0.106	0.717	183	0.984	0.262	0.767	279	0.986	0.115	0.733
chr10	69338520	A	-	m6A	579	0.986	0.069	0.767	202	0.985	0.005	0.633	189	0.974	0.053	0.75	286	0.986	0.014	0.717
chr10	70192871	A	+	m6A	69	0.87	0.203	0.817	32	1	0	NA	30	0.967	0.2	0.833	65	0.969	0.185	0.833
chr10	70192891	A	+	m6A	70	0.986	0.471	0.833	32	1	0.25	0.7	29	1	0.621	0.7	64	1	0.328	0.767
chr10	70192903	A	+	m6A	72	1	0.361	0.8	31	1	0.419	0.867	29	1	0.621	0.8	68	1	0.456	0.767
chr10	71228296	A	-	m6A	190	0.984	0.121	0.7	57	1	0.07	0.633	56	0.982	0.25	0.667	91	0.989	0.044	0.8
chr10	71228353	A	-	m6A	185	0.962	0.351	0.833	46	0.978	0.065	0.933	47	1	0.298	0.817	87	1	0.138	0.7
chr10	71228428	A	-	m6A	151	0.974	0.583	0.833	28	0.964	0.429	0.917	28	1	0.536	0.8	74	0.973	0.554	0.8
chr10	71331033	A	-	m6A	271	0.967	0.096	0.7	101	0.99	0.04	0.667	85	0.976	0.141	0.717	157	0.981	0.057	0.7
chr10	72668937	A	+	m6A	192	0.99	0.432	0.8	99	0.99	0.263	0.8	61	1	0.459	0.9	80	1	0.237	0.767
chr10	72669093	A	+	m6A	195	0.995	0.503	0.767	105	1	0.324	0.833	66	0.985	0.545	0.767	83	0.976	0.361	0.8
chr10	75896949	A	-	m6A	344	0.901	0.076	0.867	169	0.953	0.012	0.867	151	0.921	0.066	0.85	205	0.961	0.029	0.917
chr10	77052264	A	-	m6A	127	0.921	0.063	0.817	81	0.951	0	NA	60	0.95	0.067	0.75	104	0.923	0.029	0.667
chr10	77052340	A	-	m6A	144	1	0.056	0.767	84	1	0.024	0.833	63	1	0.063	0.617	109	1	0.028	0.8
chr10	77486924	A	-	m6A	105	0.99	0.095	0.767	63	0.984	0.016	0.967	31	0.968	0.065	0.65	52	1	0.038	0.833
chr10	77617094	A	+	m6A	222	0.991	0.441	0.867	81	1	0.086	0.733	79	0.987	0.456	0.833	107	0.991	0.15	0.867
chr10	77988177	A	-	m6A	595	0.978	0.146	0.733	392	0.995	0.048	0.7	291	0.955	0.137	0.75	395	0.982	0.071	0.683
chr10	78162289	A	-	m6A	83	0.976	0.193	0.85	44	0.977	0.045	0.667	34	1	0.176	0.85	50	0.98	0.08	0.683
chr10	78400527	A	-	m6A	409	0.973	0.11	0.7	201	0.98	0.01	0.683	151	0.987	0.086	0.667	230	0.996	0.057	0.767
chr10	79675974	A	+	m6A	100	0.99	0.21	0.8	86	0.988	0.14	0.7	43	1	0.326	0.717	83	1	0.193	0.817
chr10	79675981	A	+	m6A	99	0.899	0.101	0.8	84	0.964	0.024	0.883	44	0.977	0.136	0.867	80	0.963	0.062	0.733
chr10	79676045	A	+	m6A	96	0.99	0.427	0.8	84	0.988	0.262	0.767	42	1	0.429	0.767	79	0.987	0.304	0.783
chr10	79688126	A	+	m6A	1169	0.983	0.086	0.667	733	0.99	0.041	0.717	418	0.983	0.12	0.7	609	0.977	0.062	0.7
chr10	79688311	A	+	m6A	1347	0.996	0.449	0.833	872	0.992	0.135	0.783	511	0.998	0.511	0.833	685	0.991	0.266	0.867
chr10	79758931	A	-	m6A	304	0.97	0.224	0.733	148	0.966	0.088	0.867	105	0.962	0.295	0.767	171	0.988	0.123	0.8
chr10	79758995	A	-	m6A	223	0.991	0.179	0.717	116	0.966	0.052	0.75	83	0.964	0.193	0.75	145	0.986	0.083	0.767
chr10	79863987	A	+	m6A	630	0.983	0.086	0.733	134	1	0.015	0.8	171	1	0.088	0.733	324	0.994	0.025	0.6
chr10	79864017	A	+	m6A	661	0.93	0.068	0.8	143	0.93	0.021	0.7	178	0.91	0.079	0.75	352	0.923	0.034	0.817
chr10	79967669	A	+	m6A	530	0.981	0.179	0.7	392	0.995	0.02	0.8	201	0.975	0.144	0.8	354	0.989	0.056	0.683
chr10	79967681	A	+	m6A	454	0.991	0.22	0.783	374	0.987	0.059	0.717	180	1	0.317	0.767	332	0.994	0.093	0.767
chr10	79977221	A	-	m6A	257	0.953	0.183	0.733	168	1	0.077	0.733	116	0.974	0.181	0.8	160	0.969	0.106	0.733
chr10	80035984	A	-	m6A	1302	0.995	0.251	0.8	860	0.999	0.073	0.8	583	1	0.271	0.767	710	0.997	0.139	0.8
chr10	80287747	A	+	m6A	151	0.987	0.265	0.8	35	1	0.057	0.667	59	0.966	0.271	0.733	96	0.99	0.104	0.8
chr10	80287831	A	+	m6A	165	0.994	0.364	0.85	36	1	0.083	0.733	66	0.985	0.409	0.833	116	1	0.19	0.85
chr10	80318746	A	-	m6A	130	0.985	0.392	0.867	74	0.986	0.108	0.783	44	0.977	0.386	0.7	62	1	0.177	0.733
chr10	80392640	A	-	m6A	655	0.992	0.576	0.833	426	0.979	0.308	0.8	219	0.973	0.589	0.867	330	0.979	0.367	0.833
chr10	80392792	A	-	m6A	639	0.977	0.114	0.733	368	0.981	0.033	0.717	198	0.965	0.091	0.733	298	0.993	0.064	0.767
chr10	80392880	A	-	m6A	543	0.961	0.12	0.767	245	0.959	0.045	0.833	155	0.929	0.077	0.783	249	0.956	0.048	0.75
chr10	80409820	A	-	m6A	275	0.985	0.385	0.833	85	1	0.082	0.867	113	0.973	0.416	0.833	156	0.987	0.263	0.833
chr10	80410014	A	-	m6A	213	0.981	0.056	0.733	46	1	0.043	0.8	78	1	0.09	0.833	117	0.983	0.009	0.667
chr10	80583794	A	-	m6A	343	0.977	0.35	0.833	227	0.987	0.075	0.833	126	0.976	0.349	0.833	204	0.995	0.127	0.9
chr10	80583824	A	-	m6A	357	0.93	0.053	0.7	233	0.966	0.013	0.867	127	0.937	0.055	0.767	208	0.976	0.01	0.733
chr10	80615387	A	+	m6A	113	0.982	0.575	0.833	81	0.988	0.198	0.8	37	0.973	0.676	0.867	58	1	0.207	0.85
chr10	80615522	A	+	m6A	150	0.987	0.607	0.833	110	0.991	0.609	0.867	59	1	0.61	0.867	78	0.987	0.462	0.9
chr10	80640485	A	+	m6A	289	0.948	0.197	0.767	183	0.978	0.044	0.717	109	0.972	0.239	0.867	196	0.969	0.102	0.9
chr10	80665402	A	-	m6A	131	1	0.099	0.833	57	1	0.088	0.733	49	1	0.082	0.733	74	1	0.041	0.6
chr10	80665664	A	-	m6A	101	0.99	0.198	0.7	34	1	0.059	0.683	35	0.971	0.114	0.75	59	1	0.153	0.767
chr10	80796416	A	-	m6A	185	0.919	0.324	0.733	76	0.921	0.158	0.717	70	0.929	0.386	0.8	91	0.89	0.187	0.667
chr10	81044525	A	-	m6A	106	0.906	0.142	0.8	30	0.833	0	NA	26	0.846	0.192	0.767	73	0.89	0.082	0.75
chr10	81082198	A	+	m6A	283	0.958	0.11	0.633	219	0.954	0.023	0.867	135	0.978	0.163	0.7	200	0.955	0.065	0.667
chr10	81123719	A	+	m6A	614	0.989	0.06	0.8	542	0.996	0.006	0.867	258	0.992	0.062	0.75	319	0.994	0.013	0.683
chr10	81153706	A	-	m6A	96	0.99	0.125	0.75	66	0.97	0.045	0.7	32	0.969	0.094	0.9	45	1	0	NA
chr10	81182139	A	+	m6A	2166	0.928	0.322	0.867	556	0.959	0.068	0.817	869	0.924	0.362	0.867	1556	0.951	0.16	0.833
chr10	81182260	A	+	m6A	4261	0.979	0.635	0.9	2138	0.99	0.266	0.9	2271	0.98	0.672	0.9	3191	0.983	0.454	0.9
